scorecard_id,institution,state,city,url,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,student_size,price_usd,available_quality_metrics,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.midpoint.cumulative,latest.admissions.admission_rate.overall,latest.completion.completion_rate_4yr_100nt,latest.earnings.10_yrs_after_entry.median,latest.student.retention_rate.four_year.full_time,latest.student.part_time_share,latest.aid.pell_grant_rate,latest.repayment.1_yr_repayment.overall,country,academic_selectivity_score,student_outcomes_score,student_quality_score,financial_health_score,overall_quality_score,quality_ranking,price_score,value_score
170286,Hillsdale College,MI,Hillsdale,https://www.hillsdale.edu/,32092,32092,,1563,32092,7,1433.0,32.0,0.2059,0.7209,,0.9608,0.0205,0.0,,United States,83.10700857525418,83.85455408174269,98.94209928785222,50.0,83.2623440628438,3,57.57800661780623,75.55704282933252
212805,Grove City College,PA,Grove City,www.gcc.edu/,20890,20890,,2221,20890,7,1261.0,27.0,0.734,0.7516,,0.8785,0.0081,0.0,,United States,51.762750016841586,83.31834537546281,99.58200020641964,50.0,73.77256319652155,50,74.89872282524662,74.11041108513906
139755,Georgia Institute of Technology-Main Campus,GA,Atlanta,www.gatech.edu/,11764,32876,27797.0,18260,32876,9,1447.0,32.0,0.1646,0.5706,102772.0,0.9774,0.0645,0.1367,3085.0,United States,84.76670220597943,70.65507303176457,88.7468454440341,1.1226634221878111,71.55367530552526,67,56.365772953582585,66.99730459994245
134097,Florida State University,FL,Tallahassee,https://www.fsu.edu/,5656,18786,23683.0,31812,18786,9,1323.0,28.0,0.2538,0.7273,61675.0,0.9564,0.0925,0.2375,9771.0,United States,67.35684193676904,63.32282538212693,81.458429625109,3.5877299708734283,62.18664165599064,148,78.15196214862232,66.97623780378014
230038,Brigham Young University,UT,Provo,https://byu.edu/,6496,6496,20879.0,32221,6496,9,1376.0,29.0,0.6919,0.2807,75790.0,0.8905,0.0919,0.3229,5322.0,United States,63.47081429853568,47.43590272921213,76.53866793510046,1.9474246949083804,53.51808143775649,293,97.15496180845471,66.60914554896596
196079,Binghamton University,NY,Vestal,www.binghamton.edu/,10363,29453,29657.0,14401,29453,9,1415.0,32.0,0.3773,0.7706,80596.0,0.8849,0.0219,0.2747,3804.0,United States,78.53041595903578,70.05502476207943,82.94521472879,1.3877520923201712,68.30895284753255,89,61.658471719701886,66.31380850918335
134130,University of Florida,FL,Gainesville,https://www.ufl.edu/,6381,28659,21719.0,34102,28659,9,1397.0,31.0,0.2403,0.7557,71588.0,0.9709,0.0835,0.2198,7240.0,United States,78.21651393259967,68.13562524772519,82.94896079672003,2.654573609114036,67.5744537991254,98,62.88616754801002,66.16796792379078
482936,Florida Polytechnic University,FL,Lakeland,floridapoly.edu/,4940,21005,20807.0,1556,21005,7,1294.0,29.0,0.5573,0.3841,,0.7536,0.0604,0.3305,,United States,61.52385856278468,52.73422049678277,77.723642977768,50.0,60.09557436310211,175,74.72090793827505,64.48317443565398
110662,University of California-Los Angeles,CA,Los Angeles,www.ucla.edu/,13747,44524,36643.0,33040,44524,7,,,0.0873,0.8571,82511.0,0.9676,0.0172,0.271,7073.0,United States,94.22878381168697,76.07734678297885,83.40225057251538,2.593002249013752,75.6393241961021,33,38.35544422797415,64.45416020566371
110422,California Polytechnic State University-San Luis Obispo,CA,San Luis Obispo,calpoly.edu/,11075,30995,29918.0,21521,30995,7,,,0.2975,0.6115,90768.0,0.9521,0.0432,0.1832,4216.0,United States,72.52735907495354,67.91998822714757,87.15037791249901,1.539652693286141,66.5102438651735,105,59.27420601787426,64.33943251098373
166683,Massachusetts Institute of Technology,MA,Cambridge,web.mit.edu/,60156,60156,79850.0,4571,60156,8,1553.0,,0.0474,0.8233,143372.0,0.9903,0.0072,0.1896,574.0,United States,99.35331562850648,95.31985743556562,88.6371402801025,0.196880876009291,85.68105380639963,1,14.184989331106781,64.23223446381176
145637,University of Illinois Urbana-Champaign,IL,Champaign,www.illinois.edu/,16004,34501,32134.0,34623,34501,9,1418.0,32.0,0.4369,0.7349,81054.0,0.9432,0.0182,0.2381,8103.0,United States,77.47268445791201,69.83343199764603,85.25789203653926,2.9727537514286766,68.52403191888276,87,53.85317128985373,64.12277373017405
187134,The College of New Jersey,NJ,Ewing,https://www.tcnj.edu/,18685,24568,37070.0,6831,24568,9,1247.0,29.0,0.6214,0.7554,73323.0,0.9018,0.0236,0.2013,1946.0,United States,57.491365068207706,67.31786342724881,87.11255884081905,0.7027246248571323,61.66733912201137,158,69.21173887497294,63.93065904789984
