institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank
Academy of Art University,United States,401,0.8,28024.0,28024.0,47195.0,,,28024.0,401
Biola University,United States,7,60.4,46704.0,46704.0,58430.0,,,46704.0,7
California Baptist University,United States,63,25.5,39720.0,39720.0,52408.0,,,39720.0,63
California Institute of Technology,United States,8,59.5,63255.0,63255.0,83598.0,,,63255.0,8
California Lutheran University,United States,63,25.5,50670.0,50670.0,63768.0,,,50670.0,63
California State University-Stanislaus,United States,63,25.5,7826.0,19706.0,18542.0,,,19706.0,63
California State University-Chico,United States,63,25.5,8064.0,19944.0,25590.0,,,19944.0,63
California State University-Fresno,United States,63,25.5,6980.0,18860.0,18650.0,,,18860.0,63
California State University-Fullerton,United States,63,25.5,7073.0,18953.0,16767.0,,,18953.0,63
California State University-East Bay,United States,63,25.5,7055.0,18935.0,22803.0,,,18935.0,63
California State University-Long Beach,United States,63,25.5,7008.0,18888.0,20310.0,,,18888.0,63
California State University-Northridge,United States,63,25.5,7095.0,18975.0,20317.0,,,18975.0,63
California State University-Sacramento,United States,63,25.5,7602.0,19482.0,22714.0,,,19482.0,63
University of California-Berkeley,United States,4,68.9,14850.0,45627.0,42708.0,,,45627.0,4
University of California-Davis,United States,42,32.5,15247.0,46024.0,38067.0,,,46024.0,42
University of California-Irvine,United States,48,30.6,14237.0,45014.0,36121.0,,,45014.0,48
University of California-Los Angeles,United States,12,51.9,13747.0,44524.0,36643.0,,,44524.0,12
University of California-Riverside,United States,69,23.7,14170.0,44947.0,34975.0,,,44947.0,69
University of California-San Diego,United States,19,42.1,15265.0,46042.0,36325.0,,,46042.0,19
University of California-Santa Barbara,United States,43,32.2,14965.0,45742.0,36776.0,,,45742.0,43
University of California-Santa Cruz,United States,43,32.2,14560.0,45337.0,38649.0,,,45337.0,43
Chapman University,United States,201,14.9,62784.0,62784.0,81327.0,,,62784.0,201
Dominican University of California,United States,42,32.5,50666.0,50666.0,68620.0,,,50666.0,42
University of La Verne,United States,151,18.4,47000.0,47000.0,61564.0,,,47000.0,151
La Sierra University,United States,401,2.9,35910.0,35910.0,49365.0,,,35910.0,401
National University,United States,31,36.2,13320.0,13320.0,37116.0,,,13320.0,31
University of the Pacific,United States,46,31.2,55340.0,55340.0,68173.0,,,55340.0,46
Pepperdine University,United States,39,33.5,66742.0,66742.0,85202.0,,,66742.0,39
University of Redlands,United States,301,12.2,57614.0,57614.0,70233.0,,,57614.0,301
San Diego State University,United States,52,28.8,8290.0,20170.0,27357.0,,,20170.0,52
University of San Diego,United States,301,12.2,56444.0,56444.0,74879.0,,,56444.0,301
San Francisco State University,United States,63,25.5,7424.0,19304.0,25258.0,,,19304.0,63
University of San Francisco,United States,15,46.2,58222.0,58222.0,76421.0,,,58222.0,15
San Jose State University,United States,401,4.1,7992.0,19872.0,25695.0,,,19872.0,401
Santa Clara University,United States,201,14.3,59241.0,59241.0,77768.0,,,59241.0,201
Sonoma State University,United States,52,28.8,8190.0,20070.0,24739.0,,,20070.0,52
Vanguard University of Southern California,United States,46,31.2,39950.0,39950.0,50178.0,,,39950.0,46
University of Southern California,United States,46,31.2,68237.0,68237.0,84678.0,,,68237.0,46
Ashford University,United States,2,76.3,13160.0,13160.0,30866.0,,,13160.0,2
Stanford University,United States,2,76.3,62484.0,62484.0,82162.0,,,62484.0,2
University of Massachusetts Global,United States,301,12.5,12520.0,12520.0,33365.0,,,12520.0,301
California State University-San Marcos,United States,63,25.5,7739.0,19619.0,21144.0,,,19619.0,63
University of California-Merced,United States,4,68.9,14167.0,44944.0,37098.0,,,44944.0,4
Westcliff University,United States,201,16.2,21000.0,21000.0,35995.0,,,21000.0,201
Reach University,United States,61,26.1,12374.0,12374.0,24225.0,,,12374.0,61
Adelphi University,United States,10,54.1,47290.0,47290.0,57444.0,,,47290.0,10
Alfred University,United States,10,54.1,39530.0,39530.0,54516.0,,,39530.0,10
Canisius University,United States,201,16.2,32720.0,32720.0,42271.0,,,32720.0,201
Clarkson University,United States,40,33.2,57950.0,57950.0,76451.0,,,57950.0,40
Colgate University,United States,7,60.4,67024.0,67024.0,83650.0,,,67024.0,7
Cornell University,United States,11,52.8,66014.0,66014.0,83196.0,,,66014.0,11
D'Youville  University,United States,10,54.1,33560.0,33560.0,42512.0,,,33560.0,10
Daemen University,United States,201,14.9,33724.0,33724.0,44232.0,,,33724.0,201
Fordham University,United States,201,14.9,61992.0,61992.0,77351.0,,,61992.0,201
Hofstra University,United States,52,28.8,55450.0,55450.0,68298.0,,,55450.0,52
Iona University,United States,31,36.2,45880.0,45880.0,57336.0,,,45880.0,31
