institution,country,arwu_rank,arwu_score,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,uk_home_fee_gbp,uk_intl_fee_gbp,price_usd,rank
Harvard University,United States,1,100.0,59076.0,59076.0,82842.0,,,59076.0,1
Stanford University,United States,2,76.3,62484.0,62484.0,82162.0,,,62484.0,2
Massachusetts Institute of Technology,United States,3,75.4,60156.0,60156.0,79850.0,,,60156.0,3
"University of California, Berkeley",United States,4,68.9,,,,,,,4
Princeton University,United States,6,66.7,59710.0,59710.0,80440.0,,,59710.0,6
Columbia University,United States,7,60.4,,,,,,,7
California Institute of Technology,United States,8,59.5,20515.0,20515.0,33835.0,,,20515.0,8
University of Chicago,United States,9,56.5,14338.0,29360.0,26998.0,,,14338.0,9
Yale University,United States,10,54.1,64700.0,64700.0,85120.0,,,64700.0,10
Cornell University,United States,11,52.8,,,,,,,11
"University of California, Los Angeles",United States,12,51.9,,,,,,,12
University of Pennsylvania,United States,13,48.4,,,,,,,13
Johns Hopkins University,United States,14,47.8,63340.0,63340.0,81300.0,,,63340.0,14
"University of California, San Francisco",United States,15,46.2,,,,,,,15
"University of Michigan, Ann Arbor",United States,17,44.9,,,,,,,17
"University of California, San Diego",United States,19,42.1,,,,,,,19
University of Washington,United States,20,41.8,,,,,,,20
New York University,United States,22,40.2,,,,,,,22
Northwestern University,United States,24,39.1,,,,,,,24
University of Wisconsin - Madison,United States,25,38.7,11205.0,40603.0,27770.0,,,11205.0,25
University of Illinois at Urbana-Champaign,United States,27,37.9,16004.0,34501.0,32134.0,,,16004.0,27
Duke University,United States,28,37.5,65805.0,65805.0,82749.0,,,65805.0,28
"University of Minnesota, Twin Cities",United States,30,36.8,,,,,,,30
University of North Carolina at Chapel Hill,United States,32,35.9,8989.0,39330.0,25181.0,,,8989.0,32
University of Colorado at Boulder,United States,34,35.2,16430.0,41943.0,33466.0,,,16430.0,34
Carnegie Mellon University,United States,35,34.8,63829.0,63829.0,80514.0,,,63829.0,35
"University of Maryland, College Park",United States,37,34.1,,,,,,,37
University of Texas at Austin,United States,38,33.8,11678.0,42778.0,29842.0,,,11678.0,38
Boston University,United States,40,33.2,65168.0,65168.0,82694.0,,,65168.0,40
"University of California, Davis",United States,42,32.5,,,,,,,42
University of Cambridge,United Kingdom,5,67.2,,,,9250.0,27048.0,34350.96,5
University of Oxford,United Kingdom,16,45.4,,,,9250.0,28950.0,36766.5,16
University College London,United Kingdom,18,43.2,,,,9250.0,31200.0,39624.0,18
Imperial College London,United Kingdom,23,39.8,,,,9250.0,37900.0,48133.0,23
King's College London,United Kingdom,33,35.6,,,,9250.0,31350.0,39814.5,33
University of Edinburgh,United Kingdom,36,34.5,,,,1820.0,26500.0,33655.0,36
University of Manchester,United Kingdom,41,32.9,,,,9250.0,26000.0,33020.0,41
University of Bristol,United Kingdom,51,29.1,,,,9250.0,27200.0,34544.0,51
London School of Economics and Political Science,United Kingdom,76,24.3,,,,9250.0,25608.0,32522.16,76
University of Glasgow,United Kingdom,101,21.2,,,,1820.0,24540.0,31165.8,101
University of Birmingham,United Kingdom,151,18.5,,,,9250.0,25860.0,32842.2,151
University of Leeds,United Kingdom,151,18.4,,,,9250.0,23650.0,30035.5,151
University of Liverpool,United Kingdom,151,18.1,,,,9250.0,23400.0,29718.0,151
University of Nottingham,United Kingdom,151,18.0,,,,9250.0,25860.0,32842.2,151
University of Sheffield,United Kingdom,151,17.9,,,,9250.0,23650.0,30035.5,151
University of Southampton,United Kingdom,151,17.8,,,,9250.0,24400.0,30988.0,151
Cardiff University,United Kingdom,201,16.2,,,,,,,201
Newcastle University,United Kingdom,201,16.0,,,,9250.0,24000.0,30480.0,201
Queen Mary University of London,United Kingdom,201,15.8,,,,,,,201
University of York,United Kingdom,201,15.5,,,,9250.0,28950.0,36766.5,201
