institution,country,arwu_rank,scorecard_name,state,tuition_in_state_usd,tuition_out_state_usd,total_cost_usd,price_usd,student_size,uk_home_fee_gbp,uk_intl_fee_gbp,rank_verified
Harvard University,United States,1,Harvard University,MA,59076.0,59076.0,82842.0,59076.0,7755.0,,,True
Stanford University,United States,2,Stanford University,CA,62484.0,62484.0,82162.0,62484.0,7841.0,,,True
University of Cambridge,United Kingdom,4,,,,,,34350.96,,9250.0,27048.0,True
"University of California, Berkeley",United States,5,University of California-Berkeley,CA,14850.0,45627.0,42708.0,45627.0,33073.0,,,True
Princeton University,United States,6,Princeton University,NJ,59710.0,59710.0,80440.0,59710.0,5579.0,,,True
University of Oxford,United Kingdom,7,,,,,,36766.5,,9250.0,28950.0,True
Columbia University,United States,8,Columbia University in the City of New York,NY,69045.0,69045.0,86042.0,69045.0,8899.0,,,True
University of Chicago,United States,10,University of Chicago,IL,66939.0,66939.0,86856.0,66939.0,7540.0,,,True
Yale University,United States,11,Yale University,CT,64700.0,64700.0,85120.0,64700.0,6811.0,,,True
Cornell University,United States,12,Cornell University,NY,66014.0,66014.0,83196.0,66014.0,15935.0,,,True
"University of California, Los Angeles",United States,13,University of California-Los Angeles,CA,13747.0,44524.0,36643.0,44524.0,33040.0,,,True
University of Pennsylvania,United States,14,University of Pennsylvania,PA,66104.0,66104.0,85738.0,66104.0,10768.0,,,True
Johns Hopkins University,United States,16,Johns Hopkins University,MD,63340.0,63340.0,81300.0,63340.0,5617.0,,,True
University College London,United Kingdom,17,,,,,,39624.0,,9250.0,31200.0,True
University of Washington,United States,18,University of Washington-Seattle Campus,WA,12643.0,41997.0,30282.0,41997.0,31588.0,,,True
"University of California, San Diego",United States,19,University of California-San Diego,CA,15265.0,46042.0,36325.0,46042.0,33787.0,,,True
Imperial College London,United Kingdom,23,,,,,,48133.0,,9250.0,37900.0,True
University of Michigan-Ann Arbor,United States,26,University of Michigan-Ann Arbor,MI,17228.0,58072.0,33345.0,58072.0,33488.0,,,True
New York University,United States,28,New York University,NY,60438.0,60438.0,79121.0,60438.0,29430.0,,,True
Northwestern University,United States,30,Northwestern University,IL,65997.0,65997.0,87804.0,65997.0,8960.0,,,True
King's College London,United Kingdom,35,,,,,,39814.5,,9250.0,31350.0,True
University of Edinburgh,United Kingdom,40,,,,,,33655.0,,1820.0,26500.0,True
University of Manchester,United Kingdom,45,,,,,,33020.0,,9250.0,26000.0,True
University of Bristol,United Kingdom,55,,,,,,34544.0,,9250.0,27200.0,True
London School of Economics and Political Science,United Kingdom,85,,,,,,32522.16,,9250.0,25608.0,True
University of Glasgow,United Kingdom,105,,,,,,31165.8,,1820.0,24540.0,True
University of Birmingham,United Kingdom,155,,,,,,32842.2,,9250.0,25860.0,True
University of Leeds,United Kingdom,155,,,,,,31115.0,,9250.0,24500.0,True
University of Liverpool,United Kingdom,155,,,,,,29718.0,,9250.0,23400.0,True
University of Nottingham,United Kingdom,155,,,,,,33020.0,,9250.0,26000.0,True
University of Sheffield,United Kingdom,155,,,,,,30035.5,,9250.0,23650.0,True
University of Southampton,United Kingdom,155,,,,,,30988.0,,9250.0,24400.0,True
